easting,northing,vs30,uncertainty,station,q,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv,gid
1843643.12469572,5531114.52492322,290,0.5,120A,3,265.359,0.5950514,16,218.11823,0.39540365,13
1543911.23010708,5371931.96861163,500,0.5,122A,3,264.62775,0.5950514,14,302.07278,0.53168344,13
1544100.4637881,5372211.30531271,500,0.5,129A,3,264.0701,0.5950514,15,220.0589,0.4556925,13
1590120.13425989,5400889.6005966,390,0.5,264A,3,273.8766,0.5950514,10,361.86108,0.53872114,13
1822081.82685684,5529526.94826294,341,0.5,301A,3,259.48697,0.5950514,15,220.0589,0.4556925,13
1822091.41358254,5526082.34607283,283,0.5,340A,3,268.5947,0.5950514,11,691.41766,0.7239429,13
1440251.45720224,5003927.06063849,312,0.5,507A,3,275,0.5950514,16,218.11823,0.39540365,13
1583847.38062917,5265879.79889075,407,0.1,CULC,1,264.23557,0.5950514,16,218.11823,0.39540365,13
1527402.00285507,5184413.95656781,515,0.1,DFHS,1,264.778,0.5950514,16,218.11823,0.39540365,13
1526436.15244783,5173684.05010783,457,0.1,GDLC,1,263.4692,0.5950514,16,218.11823,0.39540365,13
1515969.8198521,5178731.43336893,531,0.1,HORC,1,264.1043,0.5950514,16,218.11823,0.39540365,13
1586077.18598576,5292112.13092521,280,0.5,HSES,3,269.1781,0.5950514,15,220.0589,0.4556925,13
1806362.16466062,5434913.92383269,390,0.5,MAVS,3,264.1043,0.5950514,16,218.11823,0.39540365,13
1544175.20582907,5372218.24333594,501,0.5,MCAS,3,262.42145,0.5950514,15,220.0589,0.4556925,13
1559114.98923837,5198035.17600491,546,0.1,SWNC,1,262.97467,0.5950514,16,218.11823,0.39540365,13
1820473.2300089,5821088.44761476,800,0.5,TOZ,3,439.86578,0.702906,5,736.6329,0.65327823,13
1852563.86346579,5561541.82062562,800,0.5,TSZ,3,439.86578,0.702906,3,934.96515,0.6438865,13
1843768.83139458,5530749.2406126,290,0.5,WDPS,3,265.33487,0.5950514,16,218.11823,0.39540365,13
1583644.7994242,5272347.66649584,478,0.1,WIGC,1,264.23557,0.5950514,16,218.11823,0.39540365,13
1613756.64885965,5340484.11031095,800,0.5,AC3A,3,275,0.5950514,6,491.11566,0.68166685,13
1881255.41174476,5522762.4736707,800,0.5,034A,3,782.0686,0.6023249,12,502.12625,0.6824076,12
1748527.20995224,5428921.60740426,330,0.5,648A,3,275,0.5950514,9,495.74252,0.7043546,12
1749011.41347802,5428904.49797798,275,0.2,902A,2,270.72028,0.5950514,14,302.07278,0.53168344,12
1748436.81165286,5427812.95769722,1000,0.5,913A,3,782.0686,0.6023249,6,491.11566,0.68166685,12
1748487.52147161,5426978.94265718,282,0.2,914A,2,271.5766,0.5950514,10,361.86108,0.53872114,12
1748487.52147161,5426978.94265718,282,0.2,914B,2,271.5766,0.5950514,10,361.86108,0.53872114,12
1748673.54491918,5427075.13076582,291,0.2,916A,2,268.59586,0.5950514,14,302.07278,0.53168344,12
1748067.55402229,5428197.997501,1000,0.5,918B,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1748066.64827973,5428153.52842335,1000,0.5,918C,3,782.0686,0.6023249,11,691.41766,0.7239429,12
1748775.61484356,5427128.54569628,307,0.2,919A,2,268.59586,0.5950514,14,302.07278,0.53168344,12
1748527.20995224,5428921.60740426,330,0.5,921A,3,275,0.5950514,9,495.74252,0.7043546,12
1874354.19076092,5491735.28998622,800,0.5,BFZ,3,782.0686,0.6023249,5,736.6329,0.65327823,12
1761516.358502,5438210.27098902,1000,0.5,BMTS,3,782.0686,0.6023249,5,736.6329,0.65327823,12
1441177.65671906,5083633.62406721,1500,0.5,CVZ,3,1068.298,0.6903283,7,769.95667,0.7053239,12
1500605.58639078,5377849.4472992,800,0.5,DSZ,3,782.0686,0.6023249,12,502.12625,0.6824076,12
1762656.50399836,5436404.43612347,1000,0.5,FAIS,3,782.0686,0.6023249,5,736.6329,0.65327823,12
1342678.71823936,5175165.61258902,1000,0.5,FOZ,3,1068.298,0.6903283,5,736.6329,0.65327823,12
1766266.39383049,5442484.0904205,526,0.5,HSSS,3,782.0686,0.6023249,8,614.3239,0.71882683,12
1248001.5173185,5121831.32607709,800,0.5,JCWJ,3,782.0686,0.6023249,5,736.6329,0.65327823,12
1262509.96807618,5111353.88022982,1500,0.5,JCZ,3,1068.298,0.6903283,3,934.96515,0.6438865,12
1898406.1203438,5629391.36155002,760,0.5,KFHS,3,782.0686,0.6023249,5,736.6329,0.65327823,12
2004671.49607133,5670404.74277654,800,0.5,KNZ,3,782.0686,0.6023249,3,934.96515,0.6438865,12
1375728.063067,5081447.28215562,1000,0.5,LBZ,3,782.0686,0.6023249,5,736.6329,0.65327823,12
