Station,Latitude,Longitude,Elevation,NZS1170SiteClass,Vs30,Sigmaln_Vs30,Q_Vs30,Vs30_Ref,T_median,sigmaln_T,Q_T,D_T,T_Ref,Z1.0_median,sigmaln_Z1.0,Q_Z1.0,Z1.0_Bedrock,Z1.0_Ref,Z2.5_median,sigmaln_Z2.5,Q_Z2.5,Z2.5_Ref,Reference_site,TopoT_median,Deeprock_T,District
WDAS,-41.25739739,174.9484664,4,E,120,0.05,Q1,Stephenson & Barker 1992,1.25,0.1,Q1,Mu,Manea et al. 2021 unpublished,62,0.1,Q2,1,Kaiser et al. (2017),275,0.3,Q3,NZVM (2021),0,0,0,Wellington
WEMS,-41.27428738,174.7792642,55,D,265,0.05,Q1,Kaiser & Louie (2006),0.98,0.2,Q2,Mw,Kaiser et al 2019,128,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
WIGC,-42.70118655,172.8003026,1250,D,478,0.017,Q1,Stolte et al. 2021 unpublished,1.2,0.1,Q2,Mw,Kaiser et al. (2013),69,0.096,Q2,0,Stolte et al. (2021) unpublished,475,0.3,Q3,NZVM (2021),0,0,0,Canterbury
WNAS,-41.32640865,174.8090344,2,D,229,0.02,Q1,Stolte et al. 2021 unpublished,1.12,0.03,Q1,Mw,Stolte et al. 2021 unpublished,66,0.05,Q2,1,Stolte et al. (2021) unpublished,325,0.3,Q3,NZVM (2021),0,0,0,Wellington
WNHS,-41.30077798,174.775514,8,C,493,0.02,Q1,Stolte et al. 2021 unpublished,0.32,0.042,Q1,Mw,Stolte et al. 2021 unpublished,50,0.05,Q2,1,Stolte et al. (2021) unpublished,325,0.5,Q3,NZVM (2021),0,0,0,Wellington
WNKS,-41.28481753,174.7420537,261,C,369,0.008,Q1,Stolte et al. 2021 unpublished,0.31,0.33,Q1,Ms,Stolte et al. 2021 unpublished,39,0.067,Q1,1,Stolte et al. (2021) unpublished,325,0.5,Q3,NZVM (2021),0,0,0,Wellington
WTMC,-42.61945518,173.0535962,464,D,504,0.032,Q1,Stolte et al. 2021 unpublished,0.58,0.17,Q1,I,Stolte et al. 2021 unpublished,87,0.473,Q2,0,Stolte et al. (2021) unpublished,1525,0.3,Q3,NZVM (2021),0,0,0,Canterbury
MHGZ,-39.15255834,177.9070012,503,B,1000,0.2,Q1,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,15,0.3,Q3,1,NSHM (2021) ,9525,0.5,Q3,NZVM (2021),0,0,0,Hawkes Bay
HBHS,-37.785638,175.295136,39,D,182,0.1,Q1,Cave (2020),3.2,0.02,Q1,I,Cave (2020),396,0.1,Q2,1,Cave (2020),975,0.3,Q3,NZVM (2021),0,0,0,South Auckland
CPLB,-41.278806,174.78209,2,D,244,0.01,Q1,Stolte et al. 2023 unpublished,1.21,0.11,Q1,Ma,Kaiser et al. 2019,247,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
