Station,Latitude,Longitude,Elevation,NZS1170SiteClass,Vs30,Sigmaln_Vs30,Q_Vs30,Vs30_Ref,T_median,sigmaln_T,Q_T,D_T,T_Ref,Z1.0_median,sigmaln_Z1.0,Q_Z1.0,Z1.0_Bedrock,Z1.0_Ref,Z2.5_median,sigmaln_Z2.5,Q_Z2.5,Z2.5_Ref,Reference_site,TopoT_median,Deeprock_T,District
PVCS,-41.22474608,174.8739174,20,D,190,0.1,Q2,Kaiser & Louie (2006),2,0.2,Q2,I,Manea et al. 2021 unpublished,296,0.1,Q2,1,Boon et al. (2010),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
SKFS,-45.89862582,170.5097155,150,E,140,0.1,Q2,Barker 1996,0.69,0.164,Q1,I,Sangster 2020,50,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.3,Q3,NZVM (2021),0,0,1,Otago
WFSS,-39.03424496,177.4249057,42,D,155,0.1,Q2,Barker 1994,1,0.1,Q1,I,Manea et al. 2021 unpublished,98,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),8825,0.5,Q3,NZVM (2021),0,0,0,Hawkes Bay
MKAZ,-37.10413,175.16117,1560,B,800,0.2,Q2,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,55,0.5,Q3,1,NZVM (2021),375,0.5,Q3,NZVM (2021),1,0,0,North Auckland
MOZ,-38.50402867,174.8031755,386,B,800,0.2,Q2,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,45,0.5,Q3,1,NZVM (2021),375,0.5,Q3,NZVM (2021),0,0,0,South Auckland
014A,-39.49995332,176.8754973,20,D,176,0.05,Q1,Stolte et al. 2021 unpublished,1.1,0.1,Q1,I,Manea et al. 2021 unpublished,118,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),6475,0.5,Q3,NZVM (2021),0,0,0,Hawkes Bay
017A,-38.66623886,178.0227143,5,D,162,0.0108,Q1,Stolte et al. 2021 unpublished,0.9061,0.0969,Q1,Ms,Stolte et al. 2021 unpublished,120,0.0723,Q2,1,Stolte et al. (2021) unpublished,10125,0.5,Q3,NZVM (2021),0,0,0,Gisborne
029A,-39.64545628,176.8429964,10,D,196,0.0204,Q1,Stolte et al. 2021 unpublished,3.32,0.17,Q2,I,Stolte et al. 2021 unpublished,97,0.465,Q2,0,Stolte et al. (2021) unpublished,5175,0.5,Q3,NZVM (2021),0,0,0,Hawkes Bay
468A,-41.20108611,174.9546667,12,D,190,0.05,Q1,Kaiser & Louie (2006),0.9,0.3,Q3,I,Unpub HVSR (Kaiser),51,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0,Wellington
642A,-41.2349868,174.9171661,4,C,350,0.05,Q1,Cousins et al. (2006),0.35,0.2,Q2,Mu,Cousins et al. (1996),58,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.3,Q3,NZVM (2021),0,0,0,Wellington
