Station,easting,northing,Vs30,Std,q
CPT_103200_measurement_num_0,1574817.5,5181746,163.4,,5
CPT_103206_measurement_num_0,1575474.8,5185899.16,188.22,,5
CPT_103213_measurement_num_0,1762205.23,5917473.6,206.41,,5
CPT_103234_measurement_num_0,1575224.72,5179585.12,183.02,,5
CPT_103297_measurement_num_0,1579627.26,5177965.18,181.81,,5
CPT_103302_measurement_num_0,1579611.94,5177956.25,177.99,,5
CPT_103338_measurement_num_0,1571156.39,5180932.89,176.97,,5
CPT_103341_measurement_num_0,1576566.16,5184706.54,184.05,,5
CPT_103344_measurement_num_0,1576590.15,5184713.54,181.09,,5
CPT_103352_measurement_num_0,1578167.6,5180997.05,190.67,,5
CPT_103364_measurement_num_0,1575753.54,5181938.62,182.96,,5
CPT_103369_measurement_num_0,1573362,5182916,179.41,,5
CPT_103371_measurement_num_0,1573327,5182940,180.03,,5
CPT_103388_measurement_num_0,1572139,5178964,228.45,,5
CPT_1033_measurement_num_0,1570152.79,5178585,135.48,,5
CPT_103419_measurement_num_0,1572141,5178931,160.74,,5
CPT_103420_measurement_num_0,1572141,5178933,157.35,,5
CPT_103421_measurement_num_0,1572132,5178891,233.49,,5
CPT_103422_measurement_num_0,1572131,5178891,222.94,,5
CPT_103423_measurement_num_0,1572101,5178942,146.09,,5
CPT_103424_measurement_num_0,1572027,5178902,152.35,,5
CPT_103435_measurement_num_0,1570889,5178648.23,152.02,,5
CPT_103436_measurement_num_0,1570871.33,5178624.83,152.1,,5
CPT_103437_measurement_num_0,1570874.27,5178692.59,151.07,,5
CPT_103439_measurement_num_0,1570878.92,5178737.04,151.22,,5
CPT_103441_measurement_num_0,1570821.04,5178672.37,150.83,,5
CPT_103444_measurement_num_0,1570811.36,5178667.89,151.58,,5
CPT_103446_measurement_num_0,1570818.98,5178774.54,150.67,,5
CPT_103454_measurement_num_0,1577107.01,5183251.25,175.95,,5
CPT_10347_measurement_num_0,1571061.44,5178976.27,144.43,,5
CPT_10349_measurement_num_0,1570751,5175632,153.73,,5
CPT_1034_measurement_num_0,1570371.1,5178612.76,123.26,,5
CPT_10350_measurement_num_0,1571061.44,5178976.27,188.78,,5
CPT_10351_measurement_num_0,1570736,5175651,148.39,,5
CPT_103645_measurement_num_0,1570649.87,5180056.22,180.68,,5
CPT_103646_measurement_num_0,1570654.86,5180077.24,181.97,,5
CPT_103647_measurement_num_0,1570679.82,5180079.23,203.57,,5
CPT_103648_measurement_num_0,1570708.87,5180051.26,182.89,,5
CPT_103650_measurement_num_0,1570732.86,5180054.25,176.21,,5
CPT_103651_measurement_num_0,1570674.81,5180044.23,194.01,,5
CPT_103749_measurement_num_0,1575334.65,5194640.87,176.73,,5
CPT_103796_measurement_num_0,1930972.79,5605100.52,180.77,,5
CPT_1037_measurement_num_0,1571163.11,5178640.75,136.5,,5
CPT_103800_measurement_num_0,1932077.71,5620121.02,172.36,,5
CPT_103801_measurement_num_0,1932053.73,5620097.95,174.83,,5
