ID,Station,Latitude,Longitude,Vs30,q,σln(VS30),SMS,Note,Source,,
1,AMI 2,-43.54164,172.65508,288.44,2,,N,Cox et al. (2011) University of Arkansas Preliminary Data Report for, Surface Wave Testing in Christchurch, New Zealand Affected by the New Zealand Earthquakes,
2,AMI 3,-43.54163,172.6551,261.27,2,,N,Cox et al. (2011) University of Arkansas Preliminary Data Report for, Surface Wave Testing in Christchurch, New Zealand Affected by the New Zealand Earthquakes,
3,AMI 4,-43.54213,172.65468,200.99,2,,N,Cox et al. (2011) University of Arkansas Preliminary Data Report for, Surface Wave Testing in Christchurch, New Zealand Affected by the New Zealand Earthquakes,
4,AMI 5,-43.54273,172.65343,194.51,2,,N,Cox et al. (2011) University of Arkansas Preliminary Data Report for, Surface Wave Testing in Christchurch, New Zealand Affected by the New Zealand Earthquakes,
5,AMI 6,-43.54242,172.65262,197.31,2,,N,Cox et al. (2011) University of Arkansas Preliminary Data Report for, Surface Wave Testing in Christchurch, New Zealand Affected by the New Zealand Earthquakes,
6,S New Brighton Bridge,-43.52517,172.72512,189.75,2,,N,Cox et al. (2011) University of Arkansas Preliminary Data Report for, Surface Wave Testing in Christchurch, New Zealand Affected by the New Zealand Earthquakes,
7,SW AVD 02,-43.50652,172.68583,205.15,2,, N,Cox et al. (2011) University of Arkansas Preliminary Data Report for, Surface Wave Testing in Christchurch, New Zealand Affected by the New Zealand Earthquakes,
8,SW 6426,-43.50425,172.66545,203.56,2,,N,Cox et al. (2011) University of Arkansas Preliminary Data Report for, Surface Wave Testing in Christchurch, New Zealand Affected by the New Zealand Earthquakes,
9,SW KAS 40,-43.37932,172.65348,217.49,2,,N,Cox et al. (2011) University of Arkansas Preliminary Data Report for, Surface Wave Testing in Christchurch, New Zealand Affected by the New Zealand Earthquakes,
10,SW 6409 / SHY09,-43.50517,172.65922,174,2,, N,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.,
11,SW AVD 07,-43.50852,172.68702,180.14,2,,N,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.,
12,SW BUR 46,-43.49815,172.70025,177.38,2,,N,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.,
13,SW CBD 21,-43.52435,172.63265,187.54,2,,N,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.,
14,SW FND 01,-43.52393,172.61217,175,2,, N,Extended to 30 m,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.
15,SW KAN 03,-43.38132,172.66673,169,2,, N,Extended to 30 m,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.
16,SW KAN 05,-43.383,172.65913,205,2,, N,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.,
17,SW KAN 19,-43.38057,172.66871,195.47,2,,N,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.,
18,SW KAN 26,-43.38087,172.65688,197,2,, N,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.,
19,SW KAS 20,-43.37935,172.64838,206.16,2,,N,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.,
20,SW Z2-4,-43.52833,172.63532,176,2,, N,Extended to 30 m,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.
21,SW Z2-6,-43.52763,172.63697,181.4,2,,N,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.,
22,SW Z4-4,-43.52875,172.64227,191.67,2,,N,Wood et al. (2016). Vs-based Evaluation of Select Liquefaction Case Histories from the 2010-2011 Canterbury Earthquake Sequence, Journal of Geotechnical and Geoenvironmental Engineering, Submitted.,
23,Burnside Park,-43.505591,172.565624,294,2,0.04, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
24,Cashmere High,-43.566681,172.623209,222,2,0.01, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
25,Christchurch Park,-43.501391,172.647934,160,2,0.05, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
26,Fitzgerald,-43.524599,172.648853,211,2,0.02, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
27,Garrick Park,-43.546876,172.674017,183,2,0.02, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
28,Groynes,-43.441365,172.620876,223,2,0.03, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
29,Hagley Park,-43.536962,172.616054,188,2,0.04, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
30,Ilam Fields,-43.52269,172.575867,297,2,0.04, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
31,Latimer Square,-43.53057,172.642643,192,2,0.02, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
32,Porritt Park,-43.515499,172.685487,186,2,0.04, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
33,QEII Park,-43.492047,172.70909,202,2,0.06, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
34,Redwood Park,-43.476662,172.613207,188,2,0.02, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
35,Riccarton High Fields,-43.534568,172.565783,324,2,0.03, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
36,South New Brighton Park,-43.532757,172.734162,184,2,0.04, N,Cox et al. (2016). Deep Vs Profiling in Christchurch,,,
