wkt_geom,easting,northing,vs30,uncertainty,station,q,gid,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv
Point (1760666.08487151633016765 5433384.65181931387633085),1760666.085,5433384.652,350,0.1,642A,1,6,235.11285,0.39401674,6,491.11566,0.68166685
Point (1760736.06822239723987877 5433483.10595258511602879),1760736.068,5433483.106,350,0.1,642E,1,6,239,0.39401674,6,491.11566,0.68166685
Point (1760668.65184451173990965 5433385.01890403218567371),1760668.652,5433385.019,350,0.1,642G,1,6,235.11285,0.39401674,6,491.11566,0.68166685
Point (1760666.08487151633016765 5433384.65181931387633085),1760666.085,5433384.652,350,0.1,642H,1,6,235.11285,0.39401674,6,491.11566,0.68166685
Point (1757808.7672521686181426 5435257.23878162354230881),1757808.767,5435257.239,189,0.5,644C,3,6,229.62808,0.39401674,13,255.27419,0.65902555
Point (1763209.60825167689472437 5430872.98926193546503782),1763209.608,5430872.989,120,0.1,646A,1,1,159.1076,0.3545938,13,255.27419,0.65902555
Point (1763194.98399524623528123 5430962.30098468996584415),1763194.984,5430962.301,120,0.1,646B,1,1,159.1076,0.3545938,13,255.27419,0.65902555
Point (1763194.98399524623528123 5430962.30098468996584415),1763194.984,5430962.301,120,0.1,646C,1,1,159.1076,0.3545938,13,255.27419,0.65902555
Point (1748882.38846273883245885 5427848.33264781255275011),1748882.388,5427848.333,474,0.2,647A,2,2,418,0.25372875,255,NA,NA
Point (1748797.09240121860057116 5427803.04927515890449286),1748797.092,5427803.049,474,0.2,647D,2,2,418,0.25372875,10,361.86108,0.53872114
Point (1748527.20995223661884665 5428921.60740426182746887),1748527.21,5428921.607,330,0.5,648A,3,4,271.62134,0.5950514,9,495.74252,0.7043546
Point (1761252.04732195567339659 5436737.33232419285923243),1761252.047,5436737.332,330,0.2,651A,2,4,261.68674,0.5950514,15,220.0589,0.4556925
Point (1755320.27424380974844098 5444185.58429600577801466),1755320.274,5444185.584,570,0.5,705B,3,4,270.38144,0.5950514,11,691.41766,0.7239429
Point (1755277.30969233089126647 5444153.44894031248986721),1755277.31,5444153.449,570,0.5,707A,3,4,271.20993,0.5950514,9,495.74252,0.7043546
Point (1754355.58556184498593211 5445039.43771461676806211),1754355.586,5445039.438,275,0.5,708A,3,6,239,0.39401674,14,302.07278,0.53168344
Point (2028418.5943193135317415 5713066.0720659801736474),2028418.594,5713066.072,156,0.1,709A,1,4,254.2112,0.5950514,16,218.11823,0.39540365
Point (1748954.06521809590049088 5427291.40192212630063295),1748954.065,5427291.402,267,0.2,900B,2,2,261.12537,0.25372875,15,220.0589,0.4556925
Point (1749036.27461537346243858 5427622.73991552740335464),1749036.275,5427622.74,250,0.5,900C,3,2,418,0.25372875,255,NA,NA
Point (1749011.41347801522351801 5428904.49797798227518797),1749011.413,5428904.498,275,0.2,902A,2,4,270.72028,0.5950514,14,302.07278,0.53168344
Point (1748942.15689598326571286 5428769.06420687958598137),1748942.157,5428769.064,250,0.2,907A,2,2,395.59198,0.25372875,14,302.07278,0.53168344
Point (1748786.97233297396451235 5427683.35131589788943529),1748786.972,5427683.351,358,0.2,911A,2,2,418,0.25372875,10,361.86108,0.53872114
Point (1751345.96707716281525791 5423443.07442532852292061),1751345.967,5423443.074,239,0.2,912A,2,6,212.684,0.39401674,15,220.0589,0.4556925
Point (1748436.81165285897441208 5427812.95769722387194633),1748436.812,5427812.958,1000,0.5,913A,3,12,782.0686,0.6023249,6,491.11566,0.68166685
Point (1748487.52147161192260683 5426978.94265717919915915),1748487.521,5426978.943,282,0.2,914A,2,4,271.5766,0.5950514,10,361.86108,0.53872114
Point (1748487.52147161192260683 5426978.94265717919915915),1748487.521,5426978.943,282,0.2,914B,2,4,271.5766,0.5950514,10,361.86108,0.53872114
Point (1748673.54491917928680778 5427075.13076582457870245),1748673.545,5427075.131,291,0.2,916A,2,4,268.59586,0.5950514,14,302.07278,0.53168344
Point (1748067.55402228981256485 5428197.99750100448727608),1748067.554,5428197.998,1000,0.5,918B,3,12,782.0686,0.6023249,11,691.41766,0.7239429
